"Weekly Hepatitis A Incidence, 1966-2012"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1966,1,0.14,-,0.37,0.58,0.47,0.05,0.31,0.58,-,0.11,0.09,0.42,0.29,0.06,0.04,0.43,0.27,0.83,0.03,0.60,0.24,0.18,0.99,0.08,0.04,0.11,0.28,-,0.67,0.44,0.31,1.29,-,0.16,0.15,0.39,-,0.71,0.22,0.67,0.16,-,2.43,0.59,0.10,-,0.25,0.16,0.06,0.35,0.31
1966,2,0.09,2.21,1.55,0.32,0.65,0.15,0.28,0.58,-,0.18,-,0.14,0.29,0.26,0.16,0.18,0.18,0.73,0.23,1.70,0.27,0.18,0.55,0.08,0.40,0.11,-,-,0.90,0.15,0.36,1.49,0.41,0.29,0.15,0.24,-,0.96,0.33,-,0.08,-,0.84,0.38,0.40,-,0.27,0.29,0.23,0.21,-
1966,3,0.06,-,0.56,0.11,0.52,-,0.17,0.39,-,0.29,-,0.28,-,0.22,0.20,0.14,0.36,0.54,0.28,1.40,0.16,0.31,0.83,0.06,0.18,0.11,0.28,0.27,0.22,-,0.15,1.29,0.26,0.27,-,0.22,0.04,0.71,0.33,0.11,0.04,-,1.02,0.49,0.59,-,0.31,0.29,0.17,0.23,0.31
1966,4,0.12,0.37,1.12,0.47,0.70,0.25,0.14,0.19,-,0.18,0.05,-,0.15,0.30,0.38,0.07,0.14,0.57,0.14,0.70,0.22,0.33,0.83,0.30,0.49,0.13,-,-,-,0.29,0.26,2.09,0.40,0.22,0.15,0.28,-,1.07,0.57,0.44,0.12,0.15,0.68,0.39,1.88,-,0.22,0.20,0.51,0.07,0.62
1966,5,0.20,0.37,0.74,0.47,0.69,0.35,0.03,0.39,-,0.29,-,-,0.73,0.28,0.30,0.76,0.41,1.40,0.25,0.40,0.19,0.23,0.59,0.36,0.45,0.11,0.14,-,0.45,-,0.22,2.28,0.25,0.18,0.31,0.44,0.04,1.22,0.26,0.11,0.08,-,0.50,0.37,0.10,0.24,0.65,0.43,0.23,0.12,-
1966,6,0.12,0.37,0.56,0.42,0.76,0.75,0.03,0.19,0.13,0.20,-,-,-,0.22,0.28,0.14,0.41,0.83,0.17,1.00,0.43,0.14,0.54,0.25,0.40,0.13,0.42,-,-,0.44,0.20,1.29,0.26,0.27,0.15,0.29,0.16,1.47,0.38,0.89,0.04,-,0.71,0.44,0.40,-,0.20,0.59,0.34,0.16,0.62
1966,7,-,1.11,0.50,0.32,0.79,0.40,0.14,0.39,-,0.18,0.07,0.28,0.73,0.17,0.20,0.14,0.14,0.64,0.25,0.60,0.54,0.11,0.95,0.11,0.36,0.64,-,-,-,0.44,0.18,1.99,0.32,0.14,-,0.26,-,0.46,0.31,-,0.16,0.29,0.60,0.34,0.69,0.48,0.34,0.33,0.85,0.26,0.93
1966,8,0.46,-,0.74,0.37,0.54,0.55,0.31,0.19,-,0.31,0.11,-,0.44,0.16,0.20,0.22,0.18,2.57,0.17,0.80,0.24,0.11,0.75,0.41,0.13,1.46,-,-,-,0.15,0.09,1.49,0.22,0.16,-,0.42,0.04,0.71,0.46,-,-,0.15,0.50,0.34,0.50,-,0.36,0.36,0.34,0.23,-
1966,9,0.09,0.74,0.37,0.42,0.54,0.40,0.03,-,-,0.36,0.07,-,0.15,0.43,0.14,0.54,0.05,1.49,0.31,0.90,0.49,0.14,1.35,0.14,0.27,0.35,0.57,-,-,0.44,0.28,0.70,0.28,0.22,-,0.35,-,0.51,0.43,0.22,0.08,-,0.73,0.49,0.20,0.48,0.49,0.16,0.34,0.19,1.24
1966,10,0.40,4.06,0.43,0.47,0.56,0.70,0.10,-,0.13,0.33,0.07,0.14,0.58,0.20,0.24,0.36,0.18,1.02,0.20,0.30,0.62,0.18,0.94,0.25,0.22,0.29,-,0.07,-,0.59,0.35,0.89,-,0.16,-,0.44,-,0.25,0.30,-,0.16,-,0.73,0.40,0.20,0.73,0.52,0.33,0.62,0.16,0.31
