"Weekly Mumps Incidence, 1968-2003"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1968,1,1.13,2.46,1.13,-,1.27,-,-,1.69,0.13,0.56,-,1.77,0.43,0.65,1.12,12.52,-,3.35,-,2.52,0.21,3.77,2.02,0.05,0.45,0.26,0.43,1.02,-,-,2.78,0.50,-,-,5.96,1.45,0.04,0.75,-,8.68,0.16,-,0.44,0.75,0.19,17.91,0.48,7.16,7.32,-,7.10
1968,2,0.41,2.46,2.26,-,2.47,-,4.86,0.19,1.93,0.47,-,6.68,4.46,0.62,2.93,-,1.67,5.01,-,3.72,1.34,4.82,7.97,0.14,1.22,0.09,2.14,2.66,-,1.41,2.07,1.61,-,-,3.70,0.53,0.16,1.65,-,5.42,0.16,-,3.09,2.29,1.17,6.74,0.59,7.92,19.91,14.84,8.33
1968,3,0.41,3.16,2.38,-,2.51,-,4.18,1.69,-,1.24,-,1.50,-,2.16,2.45,22.01,0.90,3.10,0.06,2.01,1.02,5.22,7.01,0.70,0.54,0.37,2.86,0.68,-,0.99,2.93,4.93,-,-,13.37,2.79,0.12,0.95,-,5.97,0.12,-,3.79,1.67,0.19,13.26,2.22,7.89,9.08,18.09,4.94
1968,4,0.84,10.53,1.61,-,3.25,-,3.14,2.06,1.16,0.72,2.01,2.72,2.01,1.60,1.67,10.60,-,1.19,0.03,2.21,0.55,4.72,4.31,0.05,1.80,0.02,2.57,0.41,-,0.56,3.17,2.21,-,-,4.67,0.71,0.16,2.00,-,5.75,0.04,-,4.80,2.63,0.39,6.51,0.64,7.80,6.58,13.26,5.86
1968,5,2.00,2.11,2.32,-,2.70,5.52,4.89,1.12,0.39,1.26,-,3.27,-,1.33,4.06,15.70,1.35,3.66,0.22,6.14,0.81,8.72,5.70,0.30,-,0.35,6.14,0.89,6.68,1.41,-,3.12,-,-,6.92,1.09,-,0.95,-,6.18,0.12,-,4.07,2.87,0.68,19.30,0.64,10.89,8.85,-,46.30
1968,6,0.26,6.32,3.15,-,2.44,17.08,2.29,1.31,1.03,0.28,-,10.08,2.45,1.56,1.85,21.01,1.94,2.47,0.03,4.53,1.10,6.60,7.92,0.43,0.54,1.55,2.29,1.43,1.72,1.13,2.43,2.11,-,-,8.21,0.60,-,0.55,-,-,0.12,-,3.51,3.89,1.36,15.12,0.83,6.21,7.94,13.88,9.26
1968,7,0.70,9.47,2.79,0.11,2.49,1.93,7.05,3.37,1.67,1.18,-,1.36,1.15,2.19,1.00,17.52,1.81,-,0.11,3.82,0.58,7.44,4.88,0.89,0.81,0.09,6.29,1.16,-,2.68,1.80,1.71,-,-,4.67,0.31,0.04,1.25,-,14.32,0.27,-,3.09,3.26,0.39,15.58,1.32,9.76,5.50,12.73,0.62
1968,8,1.36,8.77,3.80,-,2.06,7.97,3.10,1.31,1.16,1.24,0.02,1.77,3.74,3.99,4.01,16.52,-,3.07,-,3.82,1.52,6.80,7.74,0.43,0.18,0.13,2.43,0.68,-,1.55,1.76,3.42,-,-,5.31,1.15,0.32,2.40,-,4.34,0.04,-,3.82,3.07,0.10,7.91,0.42,10.24,4.54,8.35,1.23
1968,9,0.87,2.81,3.51,0.05,2.32,5.24,2.67,2.25,1.16,0.93,-,-,5.18,1.94,3.63,14.23,3.47,17.18,0.03,3.82,0.60,-,8.88,1.78,0.14,0.50,0.86,1.02,-,1.27,1.57,6.04,-,-,5.15,0.68,0.04,0.95,-,2.28,0.27,-,4.59,4.09,2.82,5.35,0.68,-,5.05,12.84,10.19
1968,10,0.46,5.61,-,-,3.92,6.42,4.05,-,2.57,0.85,-,6.13,2.59,1.28,2.61,21.58,1.58,-,0.06,4.83,-,5.11,6.36,0.51,0.59,2.25,5.57,2.11,2.16,4.65,3.75,1.31,-,-,9.66,0.47,-,1.80,-,-,0.12,-,45.85,4.07,0.29,11.86,2.85,6.09,5.67,13.16,5.86
