"Weekly Pertussis Incidence, 1938-2012"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1938,1,0.79,-,4.08,1.14,5.86,0.90,2.91,3.11,2.66,0.11,0.29,-,6.24,1.32,0.68,1.28,5.65,3.21,-,15.54,3.11,4.12,1.96,2.40,-,1.27,12.14,1.21,-,1.24,5.24,3.70,2.58,9.53,3.86,0.61,0.60,0.94,2.07,5.19,3.54,2.93,1.03,2.22,3.74,14.04,4.47,7.89,3.94,3.91,5.69
1938,2,1.04,-,7.94,2.49,6.85,0.45,2.32,2.72,1.41,0.56,0.65,-,2.14,1.27,1.06,1.28,5.05,0.50,0.26,6.76,2.55,3.53,3.64,2.00,-,2.51,5.80,0.45,-,0.62,3.66,11.70,2.44,9.42,2.16,2.11,0.52,1.22,3.64,4.76,2.67,0.92,0.92,2.87,11.03,6.74,4.09,6.77,5.91,5.87,4.07
1938,3,1.18,-,3.22,3.32,6.36,0.63,2.49,2.72,0.47,0.79,1.65,-,7.80,1.58,0.50,1.68,6.62,3.29,0.13,8.07,3.51,2.45,4.35,1.34,-,2.96,5.62,0.75,-,2.06,3.90,6.24,2.88,9.48,9.74,1.01,1.72,1.97,3.46,6.20,2.56,4.01,1.10,3.06,5.42,7.30,3.53,8.13,7.00,4.58,3.25
1938,4,1.11,-,11.80,2.13,6.08,1.08,2.32,3.89,0.78,1.24,2.14,-,9.75,1.42,0.97,1.88,5.37,1.75,0.26,6.52,2.49,3.23,3.86,1.93,-,1.30,4.35,0.60,-,0.62,4.56,7.02,3.42,12.18,12.36,2.18,1.64,2.62,2.85,8.50,2.40,3.54,1.06,2.16,8.60,8.71,4.13,7.30,7.82,6.39,5.69
1938,5,0.50,-,7.94,1.40,3.92,1.17,3.98,8.17,1.41,3.11,1.91,-,3.70,1.18,0.53,1.68,6.13,2.54,0.09,8.42,3.62,2.54,2.61,1.20,-,2.86,5.62,0.60,-,0.82,3.51,6.82,3.49,8.17,4.79,1.68,1.42,2.81,4.13,4.90,3.11,2.16,1.63,4.27,15.51,5.06,3.68,7.18,5.42,4.16,10.16
1938,6,0.57,-,9.66,2.80,4.07,1.08,2.85,2.72,1.88,0.34,2.33,-,1.56,1.33,0.47,0.68,5.70,2.29,0.83,7.24,4.02,3.62,4.11,1.63,-,2.38,2.90,0.53,-,1.24,3.85,7.21,2.85,11.19,2.32,1.76,1.68,2.62,2.62,3.60,3.33,3.85,2.62,4.14,8.60,5.90,2.96,9.84,3.39,4.91,7.72
1938,7,0.75,-,4.08,7.47,4.40,0.72,2.67,3.11,1.41,0.51,1.07,-,2.73,0.97,0.80,1.36,7.49,3.50,0.88,6.17,3.62,2.38,3.70,1.42,-,1.38,3.44,0.75,-,0.41,4.88,3.31,3.74,9.97,2.94,1.27,1.25,4.03,3.63,5.33,3.71,4.01,0.64,3.40,5.61,7.02,3.75,8.30,3.23,3.29,6.91
1938,8,1.15,-,9.23,1.35,5.45,1.35,2.91,1.95,0.63,0.79,1.39,-,2.34,1.08,0.74,0.96,5.05,2.39,0.53,3.20,2.72,1.92,3.90,0.98,-,3.31,4.35,1.06,-,0.82,4.05,6.04,3.03,11.13,0.00,2.47,1.76,2.44,2.96,5.62,3.71,10.79,3.05,2.81,4.30,12.92,3.37,8.13,4.81,4.39,1.63
1938,9,0.86,-,8.58,2.70,6.05,0.72,2.73,2.33,1.41,-,0.36,-,1.75,1.54,0.65,1.40,8.41,4.79,0.53,10.56,4.87,2.68,3.50,1.09,-,1.03,5.07,1.43,-,3.30,4.32,7.02,3.49,12.12,3.71,1.70,1.76,0.66,2.86,4.18,5.23,2.62,2.27,4.82,5.23,11.80,2.88,7.30,3.83,4.55,7.72
1938,10,1.15,-,9.01,1.76,7.95,0.81,4.51,0.39,0.78,0.56,1.81,-,2.53,1.55,0.68,1.00,6.30,1.79,0.79,6.41,2.55,2.75,5.02,0.65,-,1.59,2.90,0.68,-,1.44,5.34,15.79,3.34,11.98,3.09,2.75,1.85,1.50,3.10,4.18,3.05,5.24,0.99,5.63,5.61,5.34,4.62,10.54,2.95,3.49,18.29
1938,11,1.11,-,4.29,1.19,7.86,1.17,3.62,3.89,1.72,0.40,3.36,-,5.46,1.20,1.12,0.92,7.38,1.32,0.88,8.19,3.96,3.32,4.51,0.98,-,1.51,10.87,0.45,-,-,3.98,9.94,2.99,13.75,4.48,1.20,2.75,2.62,2.24,3.17,3.05,2.93,1.88,4.95,7.10,11.80,3.03,11.07,2.90,4.52,1.22
1938,12,1.44,-,10.73,1.82,7.29,2.16,4.45,2.72,0.94,1.07,0.52,-,5.26,1.45,0.32,1.08,8.14,3.04,0.96,6.17,2.94,2.93,5.12,1.53,0.00,1.08,2.90,0.68,-,0.82,4.85,4.09,3.32,11.66,1.39,3.26,1.72,1.87,2.82,3.60,6.11,4.78,2.20,5.43,6.36,8.43,2.58,8.19,3.23,4.07,2.44
1938,13,0.29,-,7.94,2.54,7.17,2.43,2.91,2.33,2.19,1.58,1.13,-,2.73,1.06,0.89,1.12,6.62,2.64,1.01,3.80,5.32,2.22,4.51,1.05,-,1.14,3.99,0.90,-,1.44,5.59,6.04,2.91,16.40,5.41,2.08,2.02,1.59,2.32,5.19,4.36,2.77,0.96,6.57,8.79,4.78,5.65,9.01,2.68,5.81,7.32
1938,14,2.33,-,13.09,3.58,7.74,1.08,3.80,3.50,1.88,1.41,0.81,-,2.14,1.16,0.35,0.80,4.99,1.00,0.83,8.19,3.34,2.41,5.08,0.54,-,2.57,9.60,0.98,-,0.21,3.85,3.70,3.39,8.66,0.62,1.10,7.83,2.34,2.97,3.17,2.78,2.93,1.49,4.17,7.29,8.43,1.63,6.65,3.45,4.23,10.16
1938,15,2.15,-,14.81,1.30,6.70,3.15,2.73,4.67,1.10,0.11,2.46,-,3.51,1.22,0.83,1.08,4.99,1.68,0.39,6.76,2.49,1.97,5.00,0.98,-,0.58,6.70,0.30,-,1.24,2.15,3.90,3.09,12.06,3.25,3.44,3.87,1.03,3.06,0.00,3.00,2.47,1.28,4.81,5.05,2.25,4.62,7.54,3.56,6.20,2.44
1938,16,1.18,-,9.87,1.82,9.30,4.14,3.38,4.28,2.04,1.41,2.98,-,0.97,1.73,0.89,0.76,6.41,1.86,1.49,3.91,2.72,2.18,6.17,0.58,-,0.48,4.71,0.83,-,-,4.93,8.19,2.88,10.32,2.78,1.59,2.19,2.62,2.57,-,3.54,0.92,1.45,3.87,15.33,7.02,2.31,9.84,4.70,5.62,4.07
1938,17,2.22,-,13.95,2.23,9.66,4.23,4.10,4.28,2.04,1.36,0.91,-,1.95,1.60,0.83,1.12,9.93,4.96,0.04,4.74,3.45,2.75,6.65,1.60,-,0.53,6.16,1.28,-,-,5.15,2.92,3.96,12.70,2.78,4.20,4.26,1.69,1.66,1.59,5.83,3.08,1.49,5.19,11.21,10.11,3.07,11.54,2.74,8.23,9.35
1938,18,1.22,-,9.44,1.35,8.05,3.60,5.40,3.11,0.78,0.96,2.30,-,2.34,1.53,0.50,1.24,8.79,2.11,0.09,4.27,3.62,2.84,4.81,0.84,-,0.66,9.78,0.45,-,-,5.95,6.82,4.04,14.45,8.81,1.65,3.66,1.03,3.21,2.88,5.89,3.85,1.03,4.24,12.15,16.29,3.34,-,3.23,5.78,2.44
1938,19,2.05,-,5.15,1.76,5.50,3.60,9.20,5.84,1.72,1.81,3.43,-,1.95,1.68,0.18,1.12,8.09,1.75,1.93,3.32,3.96,3.07,5.85,0.44,-,0.90,14.86,0.98,-,0.21,4.61,3.70,3.84,11.28,4.48,3.51,1.55,1.87,1.63,4.61,4.91,4.16,0.89,4.29,11.21,9.83,3.03,8.54,4.60,6.04,2.85
1938,20,1.94,-,10.73,1.09,9.13,3.42,5.76,2.33,0.47,1.07,2.94,-,0.78,1.79,0.62,1.36,7.55,3.00,1.93,6.52,3.51,2.63,5.04,0.80,-,0.61,5.25,1.21,-,-,-,1.36,3.43,10.03,3.55,2.06,1.59,2.16,2.55,3.03,1.53,1.39,1.99,5.78,8.41,20.51,4.44,10.25,1.75,6.71,0.41
1938,21,1.58,-,8.80,3.42,5.35,2.52,8.49,3.50,1.41,1.86,2.26,-,1.36,2.15,0.24,1.48,8.03,3.11,0.09,8.07,3.23,1.97,5.83,1.13,-,0.13,9.06,1.06,-,-,4.32,3.70,3.35,9.16,2.63,3.10,0.90,2.53,1.58,2.02,3.38,1.69,2.09,4.71,11.21,16.01,1.93,7.83,9.19,6.75,0.41
1938,22,0.93,-,5.15,2.13,6.33,1.89,4.51,3.50,1.88,1.13,1.42,-,0.97,2.92,0.89,1.36,7.27,1.54,0.44,2.61,2.66,3.28,5.08,1.63,-,1.01,7.79,1.06,-,-,4.66,2.34,3.20,6.98,3.86,1.95,2.58,3.56,1.85,3.46,3.76,0.46,2.34,5.92,14.95,5.62,5.57,6.65,5.69,6.17,4.07
1938,23,2.69,-,3.65,2.02,6.36,2.88,7.30,1.17,1.10,0.62,1.42,-,0.78,2.95,0.50,1.48,7.11,3.54,1.62,3.44,2.60,2.38,6.65,1.02,-,0.50,10.69,1.06,-,0.21,4.80,1.17,3.93,9.56,2.16,1.52,3.36,3.00,2.33,3.75,3.98,1.69,2.13,6.09,9.53,4.78,2.58,5.24,4.16,6.36,1.22
1938,24,2.76,-,4.94,1.30,5.24,2.61,4.99,3.50,1.41,1.47,1.71,-,1.36,2.95,0.30,0.96,7.06,2.36,2.36,4.86,3.23,2.04,5.54,1.45,-,0.63,10.33,1.28,-,-,4.44,5.26,4.00,11.57,5.72,2.87,2.24,1.50,2.26,2.74,4.31,2.16,2.66,5.51,21.12,12.64,4.36,5.30,6.46,5.49,4.07
1938,25,3.21,-,65.99,2.31,3.39,6.07,11.40,49.03,5.88,1.64,2.39,-,7.89,2.36,0.56,0.86,17.21,2.14,2.87,14.71,6.51,2.33,6.69,2.38,-,1.12,25.18,0.19,-,-,6.20,29.92,2.51,12.65,9.04,1.29,3.33,13.68,1.35,11.24,8.15,2.00,2.18,3.60,71.21,36.94,5.50,7.92,7.99,9.25,28.25
1938,26,1.83,-,-,1.92,3.09,2.88,11.97,4.28,0.78,0.96,1.42,-,0.97,3.11,0.38,0.76,5.97,1.64,1.88,19.34,3.17,1.97,5.68,0.91,-,0.79,9.42,0.68,-,-,4.32,2.92,2.45,10.35,2.94,3.12,1.08,2.44,2.52,8.14,4.58,0.92,1.60,4.09,17.94,53.37,2.05,3.89,4.21,6.68,6.50
1938,27,1.40,-,10.52,1.87,3.23,2.43,4.69,2.72,0.63,0.90,2.43,-,-,3.71,0.44,0.44,6.68,2.00,2.01,2.85,2.04,2.11,5.93,1.09,-,1.53,-,0.23,-,-,5.78,5.65,3.00,8.20,2.01,2.28,0.39,3.84,2.12,4.32,11.34,2.16,2.94,4.14,12.34,4.49,9.17,1.12,3.50,5.97,1.22
1938,28,1.22,-,3.86,0.93,3.74,4.50,3.80,2.33,1.88,-,0.84,-,0.39,5.28,0.44,1.08,6.46,1.86,2.98,1.90,2.77,2.15,8.86,2.40,-,1.06,9.96,1.51,-,-,7.76,3.51,4.46,9.88,7.88,4.42,2.11,3.28,3.36,2.02,5.51,1.54,2.20,4.25,13.83,10.11,3.34,3.65,3.88,7.91,2.03
1938,29,1.76,-,-,0.78,3.61,4.32,4.33,2.33,2.04,1.07,1.68,-,1.17,6.34,0.24,0.60,6.24,1.64,1.88,3.68,2.27,2.04,9.67,2.76,-,0.87,9.78,1.58,-,-,8.05,2.53,4.62,9.71,4.48,1.36,0.82,2.62,3.29,0.86,5.67,3.24,1.70,2.49,9.35,5.62,2.88,4.30,1.31,10.81,2.85
1938,30,1.11,-,3.43,0.88,3.43,4.86,4.28,1.17,0.63,0.51,1.81,-,1.56,5.89,0.53,0.72,3.53,1.93,1.79,3.68,1.36,2.11,8.70,1.16,-,0.40,9.78,0.68,-,-,7.17,3.70,4.22,5.78,7.42,5.51,2.58,2.34,1.78,-,1.69,1.85,0.71,2.00,13.27,8.71,3.53,2.94,1.53,10.88,3.25
1938,31,1.36,-,3.43,0.41,2.79,4.05,3.44,0.39,1.57,0.96,0.84,-,0.78,6.24,0.21,0.96,4.51,1.89,2.14,1.54,2.10,2.36,5.52,1.85,-,0.74,12.14,0.75,-,0.21,7.78,2.53,4.29,5.26,2.47,6.49,0.77,3.47,4.38,2.02,4.14,0.77,1.74,2.38,9.72,9.83,1.82,3.77,1.04,11.75,1.63
1938,32,0.79,-,4.72,0.26,2.51,4.05,4.39,1.17,1.72,0.68,1.10,-,0.39,6.14,0.30,1.08,2.50,3.86,2.06,3.80,2.04,2.08,9.65,2.54,-,0.48,10.87,1.21,-,-,6.54,1.56,4.95,7.27,7.42,5.72,0.22,1.87,2.55,4.32,3.82,1.23,1.56,4.06,6.92,9.27,2.54,2.94,1.91,14.85,0.81
1938,33,1.36,-,5.15,0.26,2.78,5.22,2.49,1.56,1.10,1.07,0.71,-,0.39,6.97,0.21,0.48,2.39,1.75,1.23,1.78,1.93,1.63,6.90,2.00,-,0.48,12.86,1.36,-,-,6.44,5.65,4.84,6.16,6.65,1.32,0.52,2.06,3.04,1.87,1.15,0.31,1.77,2.82,6.17,2.53,1.63,1.59,1.09,13.78,1.63
1938,34,3.21,-,24.89,2.13,1.74,10.57,7.96,12.26,5.09,1.86,1.05,-,7.89,5.52,0.59,2.93,7.41,2.84,1.14,15.54,3.48,2.35,6.09,2.52,0.00,0.61,67.66,1.81,-,0.00,7.49,15.59,3.79,6.12,14.22,2.78,0.52,1.22,1.61,0.00,7.22,4.62,0.89,1.48,24.77,59.55,1.55,2.18,1.34,15.32,14.23
1938,35,0.22,-,3.00,0.88,2.21,2.79,1.66,3.11,2.51,0.00,0.52,-,0.58,6.41,0.24,1.04,2.01,1.04,0.96,2.85,1.30,1.79,5.85,1.45,-,0.21,10.33,0.08,-,0.00,4.54,5.85,3.58,6.51,9.27,2.18,0.04,0.75,3.21,1.44,3.76,0.46,0.32,1.78,5.23,5.34,0.34,1.35,2.19,12.98,0.41
1938,36,0.47,-,0.86,0.83,1.74,2.79,3.09,3.50,1.10,0.79,0.84,-,0.78,5.77,0.21,0.64,2.66,2.64,1.75,3.08,0.96,1.49,4.57,1.56,-,0.63,6.70,0.83,-,0.00,6.46,1.36,2.95,4.27,4.33,1.45,0.99,2.44,2.53,0.86,4.80,0.31,1.24,1.02,3.55,7.58,1.21,1.18,1.48,12.36,2.03
1938,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1938,38,1.69,-,2.15,0.83,2.63,4.86,3.21,0.39,1.10,1.69,0.32,-,0.58,4.30,0.24,0.72,1.63,0.79,1.14,1.78,1.64,1.49,5.76,1.42,-,0.69,3.62,0.60,-,0.00,4.22,1.75,3.49,4.27,2.63,0.95,0.13,1.41,2.62,1.87,3.11,0.46,0.92,1.17,3.36,4.49,1.55,1.12,2.13,10.56,1.22
1938,39,0.72,-,1.72,0.31,1.58,2.61,2.20,6.23,2.66,0.73,0.23,-,1.17,4.25,0.53,0.64,2.66,0.89,0.31,2.14,0.91,1.79,5.36,1.63,-,0.50,3.44,1.13,-,0.00,4.56,4.68,3.56,4.48,3.40,3.33,0.30,0.84,1.87,1.30,3.82,0.15,1.28,1.29,5.79,4.21,2.01,1.94,1.59,9.26,1.22
1938,40,1.40,-,2.58,0.26,1.77,1.35,2.61,0.39,0.78,0.73,0.36,-,0.58,4.37,0.24,0.88,0.87,1.18,0.83,2.14,1.42,1.86,2.99,1.16,-,0.26,4.17,0.15,-,0.00,3.95,1.75,2.62,3.14,5.41,0.72,0.09,0.19,2.18,3.46,1.74,0.00,0.96,1.03,5.05,9.55,1.18,2.18,1.09,9.36,0.81
1938,41,0.61,-,2.15,0.52,1.83,2.61,2.43,1.95,2.51,0.62,0.32,-,0.97,4.83,0.74,0.52,1.03,0.68,0.39,3.80,1.19,1.90,3.70,1.24,-,0.90,2.36,0.38,-,0.00,3.95,1.36,2.50,2.62,2.47,1.83,0.09,0.84,1.89,3.89,2.34,0.31,0.74,0.51,1.68,12.92,0.30,1.41,0.77,7.65,0.81
1938,42,0.25,-,2.36,0.21,2.28,2.25,5.70,0.78,1.10,1.98,0.71,-,0.19,6.46,1.36,0.48,1.41,0.29,0.74,8.30,0.68,2.50,4.51,1.27,-,0.45,3.99,1.06,-,2.06,5.63,1.56,3.73,3.14,3.25,1.02,0.09,0.19,2.16,4.76,2.34,1.08,1.17,0.95,3.36,29.49,0.38,1.41,0.38,10.14,1.22
1938,43,0.47,-,1.61,1.37,2.67,1.08,0.89,2.53,0.63,0.62,0.27,-,0.39,3.64,0.55,0.36,2.28,2.41,0.07,5.16,2.58,1.95,4.02,1.14,-,1.31,2.72,0.98,-,1.65,2.63,4.68,2.84,3.34,4.56,1.85,0.86,1.03,-,4.18,1.64,2.93,1.51,0.75,2.99,2.25,1.95,3.06,1.26,9.30,4.47
