"Weekly Rubella Incidence, 1966-2003"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1966,1,0.20,-,1.80,-,0.04,-,0.38,-,-,-,-,0.14,0.15,0.16,0.42,0.22,-,0.44,-,0.40,0.16,0.18,0.29,0.06,-,0.02,1.56,-,-,1.32,-,-,-,-,1.08,-,-,1.12,0.01,0.67,0.16,-,0.60,-,-,0.48,0.07,2.29,1.30,0.94,0.31
1966,2,0.03,-,3.28,-,0.23,0.10,1.03,-,-,-,-,0.56,0.44,0.75,1.14,1.23,-,0.54,-,0.80,0.14,0.36,0.62,0.19,-,0.04,4.95,-,-,-,-,-,0.94,-,1.08,-,-,1.68,-,0.33,-,-,1.05,-,0.20,-,0.11,2.88,0.45,2.85,-
1966,3,0.03,-,2.17,-,0.39,0.80,1.34,0.19,-,0.26,-,0.70,-,0.42,0.62,0.62,-,1.33,-,0.70,0.03,0.36,0.33,0.08,-,-,0.57,-,-,0.15,-,-,0.30,-,1.24,-,-,2.03,0.02,2.11,0.24,-,1.18,-,0.20,6.54,0.22,2.58,0.79,3.04,0.31
1966,4,-,-,2.29,-,0.39,0.55,1.72,0.78,-,0.34,-,0.14,0.15,0.36,0.30,1.16,-,1.05,-,1.10,0.27,0.36,0.52,0.22,-,-,1.27,-,-,0.29,-,-,0.23,-,0.62,-,-,1.52,0.01,0.33,-,-,1.99,0.01,0.59,7.51,0.11,2.91,1.63,3.09,-
1966,5,-,2.95,10.04,-,0.24,0.45,2.48,-,-,0.28,-,0.28,-,0.36,0.94,1.85,-,0.48,-,0.50,0.14,1.84,0.45,-,-,-,2.12,-,-,-,-,-,0.24,-,1.55,-,-,2.23,-,1.45,0.04,-,1.44,-,-,0.24,0.31,4.91,2.25,3.49,0.31
1966,6,0.03,1.85,7.87,0.05,0.55,0.65,1.52,0.58,-,0.18,-,1.27,8.13,0.22,0.62,2.03,-,4.51,-,0.20,0.16,1.68,1.37,0.22,-,-,0.42,-,-,0.73,-,-,0.43,-,1.24,0.28,-,1.42,-,1.00,0.04,-,1.23,-,0.20,1.69,0.07,3.53,0.96,3.30,-
1966,7,0.03,0.37,6.26,-,0.39,0.80,1.52,0.39,-,0.11,-,0.28,1.16,0.96,2.48,1.56,-,4.19,-,1.00,0.51,0.96,1.07,0.03,-,-,0.14,-,-,0.15,-,-,0.37,-,0.62,0.35,-,1.88,-,0.33,0.40,-,2.20,0.06,0.40,1.21,0.27,5.00,3.55,2.99,-
1966,8,0.09,0.37,5.14,-,0.36,1.10,1.38,0.19,-,0.41,-,-,1.16,0.80,1.08,1.88,-,3.02,-,0.90,0.03,0.23,0.75,0.14,-,0.07,0.57,-,-,-,-,-,0.32,-,1.24,0.36,-,1.73,-,0.11,0.16,-,1.02,-,0.20,0.48,0.74,3.04,2.08,4.52,-
1966,9,0.09,0.74,7.06,-,0.66,0.75,3.41,0.19,-,0.70,-,0.85,-,0.75,1.42,1.88,-,0.54,-,0.30,0.46,0.78,1.89,0.17,-,-,0.85,-,-,1.03,-,-,0.38,-,0.15,0.43,-,1.32,-,-,0.71,-,1.60,-,0.50,1.21,0.29,6.08,0.62,4.12,-
1966,10,0.20,1.11,9.98,-,0.71,0.95,2.89,0.39,-,0.69,-,0.28,1.74,1.30,1.74,1.41,-,2.26,-,1.20,0.14,0.47,1.50,0.08,-,-,1.27,-,-,2.06,-,-,0.48,-,0.15,0.40,-,2.13,0.03,0.44,0.71,-,1.70,0.02,0.59,0.73,1.39,3.66,5.41,4.38,-
1966,11,-,0.74,9.29,-,0.61,0.95,3.79,1.16,-,0.52,-,0.56,0.73,1.69,1.78,3.80,-,5.88,-,0.60,0.95,1.34,0.62,0.44,-,-,0.71,-,-,2.35,-,-,0.58,-,0.77,0.21,-,1.22,0.03,0.33,0.83,-,2.15,0.01,0.10,-,1.23,3.57,1.75,5.52,0.93
1966,12,0.12,0.74,8.36,-,1.08,1.74,3.00,0.39,-,1.90,-,0.70,1.60,0.99,1.78,2.46,-,1.53,-,0.30,0.97,1.03,1.46,-,-,0.04,21.36,-,-,-,-,-,0.84,-,0.46,0.63,-,1.93,0.05,0.44,1.67,-,2.01,0.17,0.30,0.97,2.20,3.43,1.92,5.71,-
1966,13,0.14,1.85,5.08,-,0.69,0.75,3.69,0.58,-,0.98,-,1.13,2.32,0.84,1.48,1.59,-,1.75,-,1.10,0.24,1.66,0.99,0.06,-,0.02,-,-,-,-,-,-,0.79,-,0.93,0.41,-,1.98,0.02,1.11,1.23,-,2.07,0.02,0.40,1.21,0.79,2.75,1.80,5.17,-
1966,14,0.14,2.21,7.31,0.05,0.78,0.65,1.83,-,0.25,0.39,-,-,-,1.02,1.64,4.38,-,0.76,-,1.80,0.41,1.36,1.22,0.17,-,0.09,1.98,0.21,-,0.29,-,-,0.71,-,0.15,0.39,-,2.44,0.02,4.89,0.56,-,1.70,0.07,0.10,0.73,0.34,2.52,1.30,7.93,-
1966,15,0.20,1.48,8.05,-,0.63,1.99,3.51,-,-,1.06,-,0.42,0.29,0.89,3.10,2.64,-,0.67,-,-,0.32,1.46,1.72,-,-,0.02,0.85,-,-,0.59,-,-,0.68,-,1.08,1.42,-,1.57,0.12,2.34,0.44,-,2.85,0.11,-,0.73,0.47,4.58,0.90,3.84,-
1966,16,0.17,4.43,5.64,-,0.75,0.85,3.96,-,-,1.44,-,0.85,0.44,0.73,3.32,4.09,-,7.31,-,0.50,0.19,2.22,1.10,0.33,-,-,1.56,-,-,0.29,-,-,0.48,-,0.15,0.32,-,1.02,0.02,0.78,0.20,-,3.14,0.14,0.40,1.21,0.52,2.78,0.90,-,15.48
1966,17,0.03,0.74,4.65,-,0.88,1.89,2.10,-,0.13,0.93,-,0.99,-,0.76,3.04,4.02,-,1.53,-,2.40,0.54,1.32,1.17,0.03,-,0.02,0.99,-,-,-,-,-,0.41,-,0.46,1.86,-,1.52,0.01,1.11,0.75,-,3.82,0.06,0.10,-,1.23,4.12,4.45,4.28,15.48
1966,18,0.17,3.69,9.11,0.05,0.42,1.69,1.48,0.39,0.13,1.70,-,0.70,-,0.71,1.78,8.47,-,1.65,-,0.70,0.11,1.88,0.96,-,-,0.02,1.41,-,-,0.44,-,-,0.51,-,0.46,0.22,-,2.49,0.03,0.67,0.24,-,4.50,0.03,0.20,0.24,0.96,2.72,0.90,4.26,-
1966,19,0.46,0.37,4.89,-,0.57,1.84,4.65,1.74,0.13,1.70,-,0.28,0.29,1.82,1.22,4.82,-,-,-,1.20,0.62,1.73,1.59,-,-,0.02,-,-,-,-,-,-,0.44,-,1.08,0.48,-,1.78,0.06,2.22,0.60,-,4.32,0.07,0.69,0.24,2.06,2.65,1.24,-,0.62
1966,20,0.17,0.74,6.51,-,0.67,1.69,2.93,-,-,1.08,-,0.99,0.15,1.25,2.34,4.20,-,0.60,-,1.60,0.49,1.82,1.52,0.22,-,0.09,1.70,-,-,1.03,-,-,0.55,-,1.39,0.29,-,1.93,0.02,1.56,0.20,-,4.79,0.12,0.40,1.45,0.88,1.83,2.37,3.88,38.70
1966,21,0.06,0.37,3.10,-,0.59,0.75,3.41,0.78,-,0.62,-,-,0.87,0.94,3.40,2.39,-,6.20,-,0.60,0.70,2.71,2.80,-,-,0.09,0.14,-,-,0.29,-,-,0.54,-,0.77,0.65,-,0.86,0.09,0.33,0.28,-,3.51,0.11,0.30,0.73,1.30,3.66,2.70,4.49,0.31
1966,22,0.03,-,3.84,-,0.58,1.30,2.93,-,-,1.79,-,0.28,0.15,1.44,1.66,1.16,-,1.65,-,1.90,0.30,1.95,0.59,0.17,-,-,1.41,-,-,-,-,-,0.52,-,0.31,0.23,-,0.76,0.03,1.67,0.16,-,2.43,0.08,0.20,2.66,1.21,4.78,2.08,4.59,0.93
1966,23,0.09,0.74,5.39,0.05,0.31,2.64,2.03,0.39,-,1.15,-,-,-,0.98,1.56,3.15,-,3.50,-,0.60,0.14,2.20,1.77,0.14,-,0.11,0.71,-,-,-,-,-,0.36,-,0.46,0.20,-,1.22,0.06,1.00,0.08,-,2.59,-,0.10,4.12,0.36,3.04,2.54,5.50,0.31
1966,24,0.09,-,3.84,-,0.27,1.74,2.31,-,-,0.51,-,0.85,0.44,2.33,1.06,3.69,-,0.51,-,0.70,0.38,1.63,1.67,0.17,-,0.15,0.71,-,-,0.15,-,-,0.21,-,0.62,0.29,-,1.83,0.01,0.11,0.20,-,1.99,0.02,0.10,-,0.52,1.05,0.73,3.14,-
1966,25,0.03,0.74,0.99,-,0.18,0.50,2.27,-,0.13,0.36,-,0.99,-,0.19,0.36,0.36,-,2.57,-,0.60,0.14,1.46,0.52,-,-,-,0.71,0.07,-,-,-,-,0.41,-,-,0.12,-,1.07,0.02,0.44,-,-,1.75,-,0.20,0.48,0.34,0.62,2.54,1.92,-
1966,26,0.09,0.37,2.23,0.05,0.03,0.75,0.62,0.19,0.13,0.57,-,-,-,0.22,0.78,0.04,-,0.35,-,0.30,0.24,0.52,0.87,-,-,0.04,-,-,-,1.32,-,-,0.41,-,0.31,0.13,-,0.30,-,-,-,0.15,0.99,0.02,-,1.21,0.52,0.33,2.14,1.66,-
1966,27,0.12,0.74,1.05,-,0.04,0.95,1.34,0.19,-,0.49,-,0.85,-,0.50,0.44,0.18,-,0.35,-,0.50,0.19,0.43,0.65,-,-,0.02,0.14,-,-,0.29,-,-,0.16,-,0.15,0.09,-,0.81,0.02,0.78,0.04,-,2.01,0.01,-,-,0.43,0.26,0.39,1.24,-
1966,28,0.03,2.21,1.24,-,0.10,0.85,0.86,-,-,0.29,-,0.28,0.44,0.20,1.04,0.04,-,0.25,-,0.60,0.24,0.43,0.43,-,-,-,-,-,-,0.29,-,-,0.26,-,0.77,0.04,-,0.71,-,0.33,0.04,-,1.31,0.02,0.40,0.24,0.67,0.20,0.79,1.31,-
1966,29,0.12,-,1.36,-,0.02,0.40,0.86,-,-,0.16,-,0.28,-,0.07,0.38,-,-,0.16,-,0.60,0.11,0.18,0.36,-,-,0.18,-,-,-,-,-,-,0.18,-,-,0.05,-,1.32,0.01,-,0.12,-,0.44,0.02,-,-,0.43,0.26,0.11,1.22,-
1966,30,-,-,0.93,-,0.02,0.20,0.45,-,-,0.07,-,0.42,-,0.14,0.18,-,-,0.35,-,0.50,0.05,0.14,0.29,0.03,-,-,0.28,-,-,-,-,-,0.11,-,0.31,0.08,-,0.51,-,-,0.08,-,0.31,0.03,-,0.24,0.11,0.36,-,1.08,-
1966,31,0.03,0.37,1.12,-,0.04,0.50,0.28,-,-,0.20,-,-,0.15,0.09,0.10,-,-,0.73,-,1.00,0.05,0.11,0.18,-,-,-,-,-,-,-,-,-,0.20,-,-,0.05,-,0.25,-,0.22,-,0.15,0.50,0.01,-,0.97,0.07,0.49,0.56,1.19,-
